,index,Mouse,Sex,Genotype,File,Signal1,Signal2,Signal3,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
67,68,2831,M,Disease,9A4,284,6075,868,182.908,33.431,149.477,15.143,18.288,48.481,100.996,63.624,119.284
68,69,2831,M,Disease,9B1,148,2530,1222,85.198,25.451,59.747,15.157,10.294,20.682,39.065,35.839,49.359
69,70,2831,M,Disease,9B2,266,1423,867,108.183,36.987,71.196,15.905,21.082,26.818,44.378,42.723,65.46
70,71,2831,M,Disease,9B3,101,423,878,103.409,37.495,65.914,16.584,20.911,19.555,46.359,36.139,67.27
71,72,2831,M,Disease,9B4,287,2695,556,90.149,37.203,52.946,12.235,24.968,11.087,41.859,23.322,66.827
72,73,2851,M,Control,10A1,309,4277,777,192.912,41.786,151.126,16.705,25.081,53.826,97.3,70.531,122.381
73,74,2851,M,Control,10A2,316,4418,1020,231.81,50.46,181.35,28.855,21.605,80.277,101.073,109.132,122.678
74,75,2851,M,Control,10A3,340,5738,179,150.823,62.928,87.895,32.666,30.262,32.512,55.383,65.178,85.645
75,76,2851,M,Control,10A4,109,900,459,235.014,63.4,171.614,30.85,32.55,83.667,87.947,114.517,120.497
76,77,2851,M,Control,10B1,214,1004,645,89.744,24.545,65.199,5.044,19.501,12.21,52.989,17.254,72.49
77,78,2851,M,Control,10B2,326,871,661,103.217,35.08,68.137,5.683,29.397,9.119,59.018,14.802,88.415
78,79,2851,M,Control,10B3,197,627,425,137.93,26.885,111.045,7.887,18.998,26.204,84.841,34.091,103.839
79,80,2851,M,Control,10B4,464,555,985,79.568,29.74,49.828,8.875,20.865,15.293,34.535,24.168,55.4
80,81,2942,F,Control,12A1,405,5320,858,112.645,26.725,85.92,18.66,8.065,38.902,47.018,57.562,55.083
81,82,2942,F,Control,12A2,277,2722,458,99.156,21.186,77.97,9.081,12.105,28.129,49.841,37.21,61.946
82,83,2942,F,Control,12A3,449,2335,1095,96.889,31.765,65.124,18.638,13.127,35.315,29.809,53.953,42.936
83,84,2942,F,Control,12A4,51,903,1042,110.89,23.174,87.716,11.514,11.66,33.149,54.567,44.663,66.227
